 Excitation   ExcitLevel   Seniority    Walkers    Amplitude    Init?   Proc
0110000000000000010000100000000000000000    2    4   -82.42978      0.00379  Y     58
0000110000000000000000000011000000000000    4    0    82.40666      0.00379  Y      3
1001000000000000000000000100000000100000    2    4   -82.00992      0.00378  Y     36
0100100001000010000000000000000000000000    3    4   -81.95615      0.00377  Y     33
1000010010000001000000000000000000000000    3    4   -81.76350      0.00376  Y     56
0000011001001000000000000000000000000000    4    4    80.74515      0.00372  Y     22
0001100100000000100000000000000000000000    3    4    79.76142      0.00367  Y     63
1100000000001000000100000000000000000000    2    2    78.75763      0.00363  Y     16
1000010000000000000001000000100000000000    3    4    78.70948      0.00362  Y     33
1000010000100000000100000000000000000000    3    4   -77.79406      0.00358  Y     34
1010000000000001000000000100000000000000    2    4   -77.73830      0.00358  Y     14
0101001000000000000000001000000000000000    2    4    77.73367      0.00358  Y     24
0101000010001000000000000000000000000000    2    4    76.87382      0.00354  Y     12
0010001001000001000000000000000000000000    3    4    76.43827      0.00352  Y      2
0001101000000000000100000000000000000000    3    4    76.43391      0.00352  Y     37
1001000000000000100000010000000000000000    2    4   -75.97533      0.00350  Y     58
0010010100000000100000000000000000000000    3    4   -74.95655      0.00345  Y     27
0101000000100010000000000000000000000000    2    4    74.92750      0.00345  Y     22
0100001100000000100000000000000000000000    3    2    74.27966      0.00342  Y     52
0010100100000100000000000000000000000000    3    4    73.99454      0.00341  Y     39
1000001100000000010000000000000000000000    3    2   -72.79696      0.00335  Y     40
1001000010000000010000000000000000000000    2    4    72.66382      0.00334  Y     24
0011000000000001000000000000000000000010    2    2    72.49832      0.00334  Y     51
1010000001000100000000000000000000000000    2    4    71.69011      0.00330  Y      1
0000000100110010000000000000000000000000    4    2    71.52428      0.00329  Y     50
1100000100000000000000000000000000100000    2    2    71.38208      0.00329  Y     28
1001000100000000000000000000000000001000    2    4    71.34690      0.00328  Y     22
0001101000000000010000000000000000000000    3    4   -71.11930      0.00327  Y     57
1100001000000000000000000000000000010000    2    2   -70.64022      0.00325  Y     34
0100100000000000000010000000010000000000    3    4    70.37143      0.00324  Y      7
0110010000000000000000000000000000100000    2    4    70.05323      0.00322  Y     59
0011000100000000000000000000000000000010    2    2   -69.59180      0.00320  Y      3
0011000000000000000000000000000011000000    2    0   -69.52182      0.00320  Y     61
1000010000100100000000000000000000000000    3    4    69.17789      0.00318  Y     26
0110000100000000000000000000000000001000    2    4   -69.13228      0.00318  Y     38
0000110100000000000000000000000000000010    4    2    68.87803      0.00317  Y     19
0000110000000100001000000000000000000000    4    2    67.74955      0.00312  Y      8
1001000000000000100000000000000001000000    2    4    67.51583      0.00311  Y     18
0110000000000000000000000000100100000000    2    4   -67.20730      0.00309  Y     45
0110000010000000000100000000000000000000    2    4   -66.93129      0.00308  Y     56
0011000000000000000000000000000000001100    2    0   -66.62911      0.00307  Y     52
0001100100000000001000000000000000000000    3    4   -66.27571      0.00305  Y     63
0110000000000000000000001000000000010000    2    4   -64.74014      0.00298  Y     26
1001000000000000000000000000011000000000    2    4   -64.56704      0.00297  Y     15
0000100100000000001000010000000000000000    4    4   -64.05450      0.00295  Y     59
0011000000000010000000000000000000000001    2    2   -63.66406      0.00293  Y     37
0100100000011000000000000000000000000000    3    4    63.48419      0.00292  Y     40
1001001000000000000000000000000000000100    2    4   -63.09695      0.00290  Y     24
0110000100000000000000001000000000000000    2    4    63.00896      0.00290  Y     26
1001000000000000010000100000000000000000    2    4    62.83096      0.00289  Y      2
0000001000110001000000000000000000000000    4    2   -62.79522      0.00289  Y     44
0100010010000010000000000000000000000000    3    4   -62.73722      0.00289  Y     44
1001000000000000000100000000000010000000    2    4   -62.67853      0.00289  Y      9
0100100000010000001000000000000000000000    3    4   -62.31266      0.00287  Y     56
0100001100001000000000000000000000000000    3    2    61.93913      0.00285  Y      4
1001100000000000000000000000000000010000    2    4    61.61134      0.00284  Y     37
0100100000000000100000000100000000000000    3    4    61.48692      0.00283  Y     62
1000010000000000100000000100000000000000    3    4   -60.63071      0.00279  Y     14
0000011010000100000000000000000000000000    4    4   -60.48861      0.00278  Y     31
1010000000000000000001000001000000000000    2    4    59.55018      0.00274  Y     27
0011000000000000000000000000000000000011    2    0   -59.46446      0.00274  Y     21
0011000000100000000000000000000000000100    2    2   -59.38190      0.00273  Y     43
0011001000000000000000000000000000000001    2    2    58.78964      0.00271  Y     13
0001100100001000000000000000000000000000    3    4   -58.00706      0.00267  Y     15
0110000000000000100000010000000000000000    2    4    57.74273      0.00266  Y      2
0001001000011000000000000000000000000000    3    4   -57.66552      0.00265  Y     33
0000011100000000000000001000000000000000    4    2   -57.39196      0.00264  Y      5
1000010000000000010000001000000000000000    3    4    56.89687      0.00262  Y     46
1001000000000010000000000000000000000100    2    4    56.88770      0.00262  Y     48
1000010000100000010000000000000000000000    3    4   -56.64620      0.00261  Y     54
0100100000000000010000001000000000000000    3    4   -56.28458      0.00259  Y     30
1100000000000001000000000000000000000010    2    2    56.14023      0.00258  Y     44
0000110000000000000000000000000011000000    4    0    55.64676      0.00256  Y     13
0000110000001000000100000000000000000000    4    2   -55.59623      0.00256  Y     31
1000100001000001000000000000000000000000    3    4   -55.44773      0.00255  Y     43
1000010000000100000000001000000000000000    3    4   -55.41222      0.00255  Y     31
1001000000010000000000000000000000000010    2    4   -55.24830      0.00254  Y     60
0110000000000010000000000000000000000100    2    4   -55.03050      0.00253  Y     12
0000110000000000000000000000110000000000    4    0    54.88776      0.00253  Y     12
0011000000010000000000000000000000001000    2    2    54.73391      0.00252  Y      1
0010000001000011000000000000000000000000    3    2    54.27783      0.00250  Y     15
1010000000000000010000000000000001000000    2    4    54.05369      0.00249  Y     46
0010011000000100000000000000000000000000    3    4   -54.02254      0.00249  Y     57
0100100000100100000000000000000000000000    3    4   -53.93454      0.00248  Y     50
0011000001000000000000000000000010000000    2    2    53.87714      0.00248  Y     36
0011100000000000000000000100000000000000    2    2    53.86824      0.00248  Y     30
0110001000000000000000000000000000000100    2    4    53.83169      0.00248  Y     36
0001010010000000000000001000000000000000    3    4   -53.72198      0.00247  Y     19
0001001000000000100000000100000000000000    3    4   -53.48079      0.00246  Y     55
0011100000000000000000000000000000000100    2    2    53.14274      0.00245  Y     50
1010010000000000000000000000000000010000    2    4   -52.56065      0.00242  Y      7
0001011000001000000000000000000000000000    3    4    52.43919      0.00241  Y     31
1100000000000000000000000000001100000000    2    0   -52.20118      0.00240  Y     27
0100100000010000100000000000000000000000    3    4   -52.03197      0.00240  Y     56
0011000000000000000000000000000000110000    2    0   -51.67129      0.00238  Y     37
0000101100000000000000000000000000000100    4    2   -51.66844      0.00238  Y     45
1100000000100000000000000000000000000100    2    2   -51.36846      0.00236  Y     52
0110000000010000000000000000000000000010    2    4    51.02492      0.00235  Y      0
0101000000000000000010000010000000000000    2    4    51.00743      0.00235  Y      3
0000010010000110000000000000000000000000    4    4    50.91772      0.00234  Y     50
1001000000000000000000000000000000000110    2    4   -50.82458      0.00234  Y     17
0010001100000000000000010000000000000000    3    2   -50.41358      0.00232  Y     21
1000010000001000000000000100000000000000    3    4    50.40776      0.00232  Y     50
1001000001000000001000000000000000000000    2    4   -49.92640      0.00230  Y     35
1001001000000000000000000100000000000000    2    4    49.80952      0.00229  Y      4
1100000010000000000000000000000001000000    2    2   -49.80548      0.00229  Y      2
0010010100000000001000000000000000000000    3    4    49.57128      0.00228  Y     27
0100000110000000000000001000000000000000    3    4    49.48881      0.00228  Y     10
0000101100000000000000000100000000000000    4    2    49.26711      0.00227  Y     25
0100100000001000000000000100000000000000    3    4   -48.62814      0.00224  Y     26
0100100000100000010000000000000000000000    3    4    47.65485      0.00219  Y     22
0000100100000000000100100000000000000000    4    4    47.21050      0.00217  Y     16
0110000000000000000000000100000000100000    2    4    46.89092      0.00216  Y     24
0000110000000000000000000000001100000000    4    0    46.74455      0.00215  Y     20
0011010000000000000000000000000000001000    2    2   -46.59761      0.00215  Y      6
1000010000010000100000000000000000000000    3    4    46.51791      0.00214  Y     20
0010000100000000100000000100000000000000    3    4    46.30646      0.00213  Y     57
0011000010000000000000000000000001000000    2    2   -46.27084      0.00213  Y     29
0000111000000000000000000000000000000001    4    2   -46.20149      0.00213  Y     29
1001000000100000000000000000000000000001    2    4    46.13498      0.00212  Y     46
0010000100011000000000000000000000000000    3    4    45.83424      0.00211  Y     15
1001000000000000000000001000000000010000    2    4    45.41005      0.00209  Y     34
0000110000000000000000000000000000001100    4    0    44.83806      0.00206  Y      4
0000110000100000000000000100000000000000    4    2    44.78632      0.00206  Y     39
1100000000000001000000000000000000100000    2    2   -44.75127      0.00206  Y     44
1100000000000010000000000000000000000001    2    2   -44.52957      0.00205  Y     58
