nodes' data
i      configuration       h_ii      ci
1  37    0   1000.0
1  38    0   1000.0
1  39    0.02786883446666815   35.882376107118006
1  40    -0.02786883446666815   35.882376107118006
1  41    0   1000.0
1  42    0   1000.0
1  43    0   1000.0
1  44    0   1000.0
1  45    0.003221971166071272   310.3690096703613
1  46    0   1000.0
1  47    0.003221971166071272   310.3690096703613
1  48    0.03964808471187993   25.221899298968296
1  49    0.01996290284264777   50.092915237940694
1  50    0.04857122130608574   20.588323149179384
1  51    0.03937172816410395   25.398935902227464
1  52    0   1000.0
1  53    0   1000.0
1  54    0   1000.0
1  55    0   1000.0
1  56    0   1000.0
1  57    0.02742680993398618   36.460674880050156
1  58    0   1000.0
1  59    0.02742680993398618   36.460674880050156
1  60    -0.004524794774508956   221.00449850977452
1  61    0   1000.0
1  62    0   1000.0
1  63    -0.004524794774508956   221.00449850977452
1  64    0   1000.0
1  65    0   1000.0
1  66    0   1000.0
1  67    0   1000.0
1  68    0   1000.0
1  69    0.03506991929403278   28.514465391716826
1  70    0   1000.0
1  71    0   1000.0
1  72    0.03478502709276258   28.74800118261404
1  73    -0.0433557632602897   23.06498432506936
1  74    0.02301459109871115   43.450695939412164
1  75    0.0433557632602897   23.06498432506936
1  76    0   1000.0
1  77    0   1000.0
1  78    0.03887554180648732   25.723114162054607
1  79    0.025115083703286665   39.81670982323407
1  80    0   1000.0
1  81    0.025115083703286665   39.81670982323407
1  82    0   1000.0
1  83    0   1000.0
1  84    0   1000.0
1  85    -0.0018059618793147547   553.7215438785646
1  86    0.009202466964114859   108.66651343596376
1  87    -0.009202466964114859   108.66651343596376
1  88    0   1000.0
1  89    -0.01703705003942958   58.6956073783699
1  90    0   1000.0
1  91    0   1000.0
1  92    0   1000.0
1  93    0   1000.0
1  94    0.02261515305360154   44.21813982995559
1  95    0.04953706618851129   20.18690400829433
1  96    -0.008272050014586427   120.88901762400629
1  97    0.008272050014586427   120.88901762400629
1  98    0   1000.0
1  99    -0.0018059618793147547   553.7215438785646
2  3    0   1000.0
2  4    -0.07584411414358808   13.184938756180868
2  5    -0.1111921968501372   8.993436844743535
2  6    0   1000.0
2  7    -0.03667114367877384   27.269397670267498
2  8    0.006821066237352277   146.60464584319422
2  9    0.0833277482552379   12.000804305151028
2  10    0.006821066237352277   146.60464584319422
2  11    0.05775028452930392   17.31593200190339
2  12    0.07650668201788562   13.07075373842799
2  13    0   1000.0
2  14    -0.07429389378669506   13.460056392670662
2  15    -0.08974845820587435   11.142252691473496
2  16    0   1000.0
2  17    -0.0180483958360782   55.406586218650524
2  18    0.03511993007993483   28.473860788559282
2  19    0   1000.0
2  20    0   1000.0
2  21    0.06557117621740727   15.250603354809558
2  22    -0.05007635163768832   19.96950591039829
2  23    0   1000.0
2  24    0   1000.0
2  25    0.0019253477567620844   519.3866907876062
2  26    0   1000.0
2  27    -0.05119792850707074   19.532040243813654
2  28    -0.02203009601970455   45.39244854428062
2  29    0   1000.0
2  30    0   1000.0
2  31    0.0011215768693824263   891.601839605189
2  32    0   1000.0
2  33    0.0445439010582071   22.44976250942333
2  34    0.04685839642897167   21.34089248051431
2  35    0   1000.0
2  36    -0.00797851246732718   125.33664691195278
2  37    0   1000.0
2  38    0   1000.0
2  39    0   1000.0
2  40    0.04667300428081358   21.425661694785777
2  41    0   1000.0
2  42    0   1000.0
2  43    0.03859649143553592   25.909090769823095
2  44    -0.03349218075207478   29.857715369521042
2  45    0   1000.0
2  46    0   1000.0
2  47    0.04473561753686079   22.353553053694416
2  48    0   1000.0
2  49    0   1000.0
2  50    0   1000.0
2  51    0   1000.0
2  52    0   1000.0
2  53    -0.04618428445846511   21.6523869910625
2  54    0   1000.0
2  55    0   1000.0
2  56    0.02091034310427037   47.82322293868899
2  57    0.021436121853372708   46.6502293110758
2  58    0   1000.0
2  59    0   1000.0
2  60    -0.01835341134614013   54.48578365843187
2  61    0   1000.0
2  62    -0.017942647155813   55.73313632687824
2  63    0   1000.0
2  64    0   1000.0
2  65    0   1000.0
2  66    0   1000.0
2  67    0   1000.0
2  68    0.04324643473788823   23.12329342432243
2  69    0   1000.0
2  70    0.02489388334927423   40.17051040086739
2  71    0   1000.0
2  72    0   1000.0
2  73    0   1000.0
2  74    0   1000.0
2  75    0.009378414097907978   106.62783596035365
2  76    0   1000.0
2  77    0   1000.0
2  78    0   1000.0
2  79    -0.006936475821208384   144.16542719611076
2  80    0   1000.0
2  81    0   1000.0
2  82    0   1000.0
2  83    0.02742680993398618   36.460674880050156
2  84    0.04110226894667844   24.329557117571536
2  85    -0.01902665458912614   52.5578469570529
2  86    0   1000.0
2  87    0   1000.0
2  88    0   1000.0
2  89    0   1000.0
2  90    0   1000.0
2  91    0   1000.0
2  92    0   1000.0
2  93    0.007679179083124078   130.22225281835406
2  94    0   1000.0
2  95    0   1000.0
2  96    0   1000.0
2  97    0   1000.0
2  98    0.03837971274242848   26.055432116210383
